matched_file,longitude,latitude,distance_km,magnitude,depth,original_date,DAS_visibility
decimator_2023-09-07_07.33.00_UTC.h5,-122.2023333,46.1965,64.27048154,-0.25,2.61,2023-09-07 7:33:43,n
decimator_2023-09-07_07.59.00_UTC.h5,-122.5315,47.58383333,104.6683117,1.09,30.01,2023-09-07 7:59:03,n
decimator_2023-09-07_08.02.00_UTC.h5,-122.1841667,46.208,62.59389118,0.45,7.03,2023-09-07 8:02:46,n
decimator_2023-09-07_09.40.00_UTC.h5,-121.9153333,46.20583333,58.68318233,0.52,13.68,2023-09-07 9:40:50,n
decimator_2023-09-07_12.13.00_UTC.h5,-122.4728333,47.56166667,100.5324848,0.76,0.72,2023-09-07 12:13:50,n
decimator_2023-09-07_15.47.00_UTC.h5,-122.2026667,46.19183333,64.76657324,0.04,4.85,2023-09-07 15:47:51,n
decimator_2023-09-08_06.04.00_UTC.h5,-121.7645,46.85516667,7.934875988,1.34,0.24,2023-09-08 6:04:52,y
decimator_2023-09-08_06.04.00_UTC.h5,-121.7583333,46.85266667,7.5805939,1.5,0.88,2023-09-08 6:04:58,y
decimator_2023-09-08_06.05.00_UTC.h5,-121.7601667,46.85033333,7.346154036,1.1,0.16,2023-09-08 6:05:24,y
decimator_2023-09-08_06.07.00_UTC.h5,-121.7586667,46.853,7.620963487,0.01,0.43,2023-09-08 6:07:21,n
decimator_2023-09-08_06.08.00_UTC.h5,-121.759,46.8545,7.789670182,0.2,0.37,2023-09-08 6:08:13,n
decimator_2023-09-08_06.39.00_UTC.h5,-122.1828333,46.19316667,64.11882835,-0.17,5.58,2023-09-08 6:39:16,n
decimator_2023-09-08_12.06.00_UTC.h5,-121.8998333,46.794,5.741050197,0.92,5.61,2023-09-08 12:06:44,y
decimator_2023-09-08_12.26.00_UTC.h5,-121.765,46.91433333,14.44407629,0.99,2.49,2023-09-08 12:26:44,y
decimator_2023-09-08_14.48.00_UTC.h5,-121.7595,46.856,7.960255493,-0.07,1.62,2023-09-08 14:48:07,n
decimator_2023-09-08_14.57.00_UTC.h5,-122.2326667,46.14166667,70.79922571,-0.03,5.51,2023-09-08 14:57:17,n
decimator_2023-09-08_16.26.00_UTC.h5,-121.806,47.42116667,70.8359827,0.81,18.97,2023-09-08 16:26:38,n
decimator_2023-09-08_18.10.00_UTC.h5,-122.1973333,46.19283333,64.52234039,0.14,4.07,2023-09-08 18:10:24,n
decimator_2023-09-08_18.29.00_UTC.h5,-122.1903333,46.19516667,64.09752002,1.33,3.07,2023-09-08 18:29:20,n
decimator_2023-09-08_19.10.00_UTC.h5,-122.1888333,46.201,63.44739423,0.8,4.08,2023-09-08 19:10:18,n
decimator_2023-09-08_19.23.00_UTC.h5,-122.1768333,46.19166667,64.12956728,0,-1.82,2023-09-08 19:23:05,n
decimator_2023-09-08_19.47.00_UTC.h5,-122.196,46.19183333,64.59247956,0.24,3.56,2023-09-08 19:47:26,n
decimator_2023-09-08_21.10.00_UTC.h5,-122.1923333,46.19483333,64.18367549,0.07,4.03,2023-09-08 21:10:32,n
decimator_2023-09-08_21.21.00_UTC.h5,-122.3153333,46.49333333,41.10569227,0.59,17.26,2023-09-08 21:21:56,n
decimator_2023-09-09_04.39.00_UTC.h5,-121.6861667,46.85016667,8.127557178,0.37,-2.49,2023-09-09 4:39:09,y
decimator_2023-09-09_07.33.00_UTC.h5,-122.4095,46.7635,37.71709039,1.8,17.66,2023-09-09 7:33:33,y
decimator_2023-09-09_12.01.00_UTC.h5,-122.1993333,46.19166667,64.69651482,0.33,3.81,2023-09-09 12:01:03,n
decimator_2023-09-10_07.29.00_UTC.h5,-122.3121667,46.17283333,70.00666783,-0.02,8.34,2023-09-10 7:29:40,n
decimator_2023-09-10_08.31.00_UTC.h5,-122.1993333,46.19183333,64.67908113,-0.24,3.31,2023-09-10 8:31:23,n
decimator_2023-09-10_14.43.00_UTC.h5,-120.5606667,46.92,90.68182788,1.84,-0.3,2023-09-10 14:43:41,n
decimator_2023-09-10_17.12.00_UTC.h5,-122.2275,46.19166667,65.46329192,0.26,0.77,2023-09-10 17:12:20,n
