Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology,slope_deg
3008,28789.6,46.74134,-121.89628,662.0,11.0,26351.1,295.0,True,-12142.25069,-4949.952857,WNW,WNW,True,,W,Qs,2.237100124359131
3009,28799.1,46.74137,-121.89637,661.0,12.1,26358.9,295.0,True,-12149.102,-4946.61701,WNW,WNW,True,,W,Qs,9.851884841918945
3010,28808.7,46.7414,-121.89647,661.0,12.1,26366.8,295.0,True,-12156.71531,-4943.281163,WNW,WNW,True,,W,Qs,3.8984484672546387
3011,28818.3,46.74143,-121.89656,661.0,12.1,26374.6,295.0,True,-12163.56661,-4939.945316,WNW,WNW,True,,W,Qs,7.255296230316162
3012,28827.9,46.74147,-121.89668,661.0,11.2,26384.3,295.0,True,-12172.70166,-4935.49752,WNW,WNW,True,,W,Qs,1.3963547945022583
3013,28837.4,46.74151,-121.89679,660.0,10.3,26394.0,295.0,True,-12181.0747,-4931.049725,WNW,WNW,True,,W,Qs,1.6680151224136353
3014,28847.0,46.74154,-121.89691,660.0,9.8,26403.7,295.0,True,-12190.21198,-4927.713878,WNW,WNW,True,,W,Qs,2.700767993927002
3015,28856.6,46.74158,-121.89702,660.0,9.8,26413.4,295.0,True,-12198.58499,-4923.266082,WNW,WNW,True,,W,Qs,1.1366900205612183
3016,28866.1,46.74161,-121.89714,659.0,9.8,26423.1,295.0,True,-12207.72225,-4919.930235,WNW,WNW,True,,W,Qs,11.650941848754883
3017,28875.7,46.74165,-121.89726,659.0,9.8,26432.8,295.0,True,-12216.85724,-4915.48244,WNW,WNW,True,,W,Qs,10.68271255493164
3018,28885.3,46.7417,-121.8974,659.0,10.8,26444.6,295.0,True,-12227.51395,-4909.922695,WNW,WNW,True,,W,Qs,4.122875213623047
3019,28894.8,46.74174,-121.89754,658.0,11.9,26456.5,296.0,True,-12238.17292,-4905.474899,WNW,WNW,True,,W,Qs,9.315767288208008
3020,28904.4,46.74179,-121.89768,658.0,13.0,26468.3,296.0,True,-12248.82959,-4899.915154,WNW,WNW,True,,W,Qs,5.1229658126831055
3021,28914.0,46.74184,-121.89782,657.0,13.0,26480.1,296.0,True,-12259.48625,-4894.35541,WNW,WNW,True,,W,Qs,5.266737461090088
3022,28923.6,46.74188,-121.89796,657.0,13.0,26492.0,296.0,True,-12270.14516,-4889.907614,WNW,WNW,True,,W,Qs,11.209702491760254
3023,28933.1,46.74192,-121.89807,657.0,11.9,26501.6,296.0,True,-12278.51805,-4885.459818,WNW,WNW,True,,W,Qs,8.323197364807129
3024,28942.7,46.74196,-121.89818,656.0,10.8,26511.3,296.0,True,-12286.89094,-4881.012023,WNW,WNW,True,,W,Qs,2.8549914360046387
3025,28952.3,46.742,-121.8983,656.0,9.7,26521.0,296.0,True,-12296.02581,-4876.564227,WNW,WNW,True,,W,Qs,2.167048454284668
3026,28961.8,46.74204,-121.89841,656.0,9.7,26530.6,297.0,True,-12304.39866,-4872.116431,WNW,WNW,True,,W,Qs,3.225146770477295
3027,28971.4,46.74208,-121.89854,656.0,10.4,26541.7,298.0,True,-12314.29551,-4867.668635,WNW,WNW,True,,W,Qs,5.915103435516357
3028,28981.0,46.74213,-121.89867,655.0,11.1,26552.8,298.0,True,-12324.19004,-4862.10889,WNW,WNW,True,,W,Qs,7.5568389892578125
3029,28990.6,46.74218,-121.8988,655.0,11.9,26563.9,298.0,True,-12334.08457,-4856.549146,WNW,WNW,True,,W,Qs,3.0269274711608887
3030,29000.1,46.74222,-121.89893,654.0,11.9,26575.0,298.0,True,-12343.98136,-4852.10135,WNW,WNW,True,,W,To,3.8606574535369873
3031,29009.7,46.74227,-121.89905,654.0,11.9,26586.1,295.0,True,-12353.11385,-4846.541605,WNW,WNW,True,,W,To,1.0340524911880493
3032,29019.3,46.7423,-121.89917,654.0,10.8,26595.1,292.0,True,-12362.25091,-4843.205758,WNW,WNW,True,,W,To,1.0387312173843384
3033,29028.8,46.74232,-121.89928,654.0,9.8,26604.1,288.0,True,-12370.62826,-4840.981861,WNW,WNW,True,,W,To,1.3864542245864868
3034,29038.4,46.74235,-121.89939,654.0,10.4,26613.2,288.0,True,-12379.00331,-4837.646014,WNW,WNW,True,,W,To,3.690131187438965
3035,29048.0,46.74237,-121.8995,654.0,10.4,26622.2,280.0,True,-12387.38064,-4835.422116,W,WNW,True,,W,To,4.565248966217041
3036,29057.6,46.74236,-121.89959,654.0,11.4,26629.2,271.0,True,-12394.24089,-4836.534065,W,WSW,True,,W,To,3.0548131465911865
3037,29067.1,46.74236,-121.89969,654.0,12.4,26636.1,262.0,True,-12401.86082,-4836.534065,W,WSW,True,,W,To,4.144843101501465
3038,29076.7,46.74235,-121.89978,654.0,13.5,26643.1,262.0,True,-12408.72107,-4837.646014,W,WSW,True,,W,To,1.7336801290512085
3039,29086.3,46.74234,-121.89987,654.0,13.5,26650.1,262.0,True,-12415.58131,-4838.757963,W,WSW,True,,W,To,4.830703258514404
3040,29095.8,46.74233,-121.89996,654.0,13.5,26657.1,257.0,True,-12422.44156,-4839.869912,WSW,WSW,True,,W,To,4.082303047180176
3041,29105.4,46.74226,-121.90018,654.0,11.4,26675.4,251.0,True,-12439.22158,-4847.653554,WSW,WSW,True,,W,To,2.2069575786590576
3042,29115.0,46.74219,-121.90039,653.0,17.1,26693.8,245.0,True,-12455.23965,-4855.437197,WSW,WSW,True,,W,To,3.580977201461792
3043,29124.6,46.74212,-121.90061,653.0,22.8,26712.2,244.0,True,-12472.01976,-4863.220839,WSW,WSW,True,,W,To,6.493895053863525
3044,29134.1,46.7421,-121.90069,653.0,16.9,26718.8,244.0,False,-12478.12036,-4865.444737,WSW,WSW,True,,W,To,2.044203042984009
3045,29143.7,46.74207,-121.90077,653.0,11.0,26725.4,243.0,False,-12484.22329,-4868.780584,WSW,WSW,True,,W,To,1.6393336057662964
